millis,x_1,y_1,z_1,x_2,y_2,z_2
88914,9.16,-1.52,4.59,3.35,-8.66,3.82
88949,9.03,-1.51,4.90,3.35,-8.81,3.61
88984,9.06,-1.44,4.82,3.43,-8.69,3.66
89024,9.03,-1.39,4.57,3.36,-8.70,3.37
89059,9.04,-1.44,4.83,3.56,-8.62,3.57
89094,9.04,-1.44,4.72,3.43,-8.71,3.44
89129,9.04,-1.49,4.59,3.34,-8.79,3.52
89169,9.11,-1.48,4.44,3.32,-8.64,3.65
89204,8.99,-1.49,4.45,3.27,-8.71,3.70
89239,8.98,-1.47,4.52,3.30,-8.66,3.56
89279,9.11,-1.50,4.51,3.32,-8.76,3.53
89314,9.00,-1.42,4.67,3.36,-8.70,3.67
89349,9.05,-1.53,4.92,3.45,-8.72,3.85
89384,9.06,-1.55,4.77,3.30,-8.63,3.38
89424,9.09,-1.46,4.54,3.39,-8.69,3.66
89459,8.97,-1.46,4.80,3.40,-8.72,3.46
89494,9.10,-1.38,4.64,3.52,-8.72,3.60
89534,8.99,-1.48,4.85,3.47,-8.75,3.70
89569,9.15,-1.45,4.84,3.41,-8.55,3.67
89604,8.99,-1.42,4.84,3.52,-8.64,3.41
89639,8.98,-1.42,4.54,3.38,-8.61,3.47
89679,9.05,-1.48,4.85,3.47,-8.59,3.65
89714,8.96,-1.47,4.47,3.47,-8.69,3.46
89749,8.91,-1.39,4.67,3.32,-8.66,3.78
89789,9.02,-1.47,4.41,3.36,-8.61,3.64
89824,9.01,-1.49,4.63,3.31,-8.69,3.63
89859,9.05,-1.46,4.80,3.37,-8.68,3.51
89894,8.97,-1.43,4.44,3.45,-8.84,3.60
89934,8.96,-1.47,4.61,3.42,-8.69,3.54
89969,9.08,-1.33,4.53,3.53,-8.63,3.36
90004,8.99,-1.57,4.58,3.44,-8.72,3.67
90044,9.06,-1.52,4.87,3.34,-8.62,3.49
90079,9.05,-1.43,4.76,3.46,-8.67,3.54
90114,9.05,-1.47,4.60,3.48,-8.66,3.72
90149,9.02,-1.40,4.38,3.30,-8.54,3.58
90189,9.05,-1.46,4.84,3.44,-8.70,3.39
90224,8.90,-1.43,4.50,3.38,-8.74,3.44
90259,9.03,-1.42,4.88,3.45,-8.61,3.72
90294,9.02,-1.51,4.53,3.24,-8.67,3.60
90334,8.92,-1.48,4.63,3.29,-8.77,3.46
90370,9.02,-1.44,4.60,3.44,-8.62,3.48
90404,9.13,-1.52,4.57,3.54,-8.65,3.47
90444,8.95,-1.48,4.75,3.43,-8.69,3.77
90479,8.96,-1.49,4.78,3.33,-8.71,3.34
90514,8.97,-1.44,5.00,3.51,-8.67,3.44
90549,9.16,-1.46,4.70,3.25,-8.69,3.40
90589,9.05,-1.50,4.58,3.32,-8.68,3.58
90625,9.06,-1.46,4.31,3.54,-8.70,3.20
90659,8.97,-1.40,4.82,3.35,-8.64,3.43
90694,8.96,-1.54,4.71,3.42,-8.70,3.53
90734,9.04,-1.44,4.76,3.30,-8.78,3.45
90769,9.02,-1.44,4.61,3.31,-8.68,3.74
90804,8.90,-1.50,4.45,3.29,-8.73,3.78
90844,9.16,-1.49,4.77,3.36,-8.67,3.88
90880,9.00,-1.45,4.61,3.45,-8.71,3.65
90914,9.03,-1.47,4.47,3.37,-8.65,3.84
90949,9.06,-1.42,4.63,3.35,-8.67,3.40
90989,9.06,-1.45,4.43,3.50,-8.68,3.29
91024,9.13,-1.50,4.62,3.43,-8.68,3.89
91059,9.16,-1.50,4.69,3.40,-8.66,3.30
91099,8.95,-1.40,4.89,3.37,-8.59,3.45
91134,8.99,-1.41,4.72,3.38,-8.70,3.56
91169,9.00,-1.43,4.67,3.35,-8.72,3.84
91204,9.11,-1.42,4.68,3.43,-8.62,3.32
91244,9.07,-1.49,4.66,3.42,-8.81,3.36
91279,9.11,-1.47,4.80,3.34,-8.72,3.39
91314,9.08,-1.47,4.60,3.47,-8.69,3.66
91354,9.03,-1.53,4.93,3.35,-8.70,3.48
91389,8.98,-1.52,4.49,3.44,-8.66,3.86
91424,8.93,-1.54,4.59,3.33,-8.78,3.61
91459,9.15,-1.49,4.68,3.37,-8.69,3.17
91499,8.99,-1.52,4.98,3.40,-8.71,3.66
91534,8.89,-1.46,4.78,3.26,-8.62,3.37
91569,8.98,-1.44,4.70,3.38,-8.65,3.62
91604,8.93,-1.51,4.69,3.40,-8.76,3.63
91644,9.03,-1.58,4.87,3.44,-8.70,3.64
91679,9.19,-1.48,4.52,3.50,-8.60,3.55
91714,9.01,-1.47,4.62,3.37,-8.65,3.34
91754,9.08,-1.57,5.07,3.52,-8.71,3.33
91789,9.03,-1.53,4.75,3.36,-8.65,3.62
91824,9.08,-1.57,4.68,3.45,-8.72,3.70
91859,9.06,-1.40,4.78,3.67,-8.73,3.40
91899,9.08,-1.52,4.85,3.34,-8.62,3.47
91934,9.09,-1.45,4.65,3.55,-8.70,3.22
91969,9.04,-1.39,4.79,3.33,-8.70,3.76
92009,9.05,-1.42,4.56,3.29,-8.69,3.42
92044,8.97,-1.40,4.59,3.38,-8.82,3.18
92079,9.03,-1.44,4.44,3.34,-8.64,3.50
92114,9.02,-1.33,4.65,3.40,-8.66,3.53
92154,9.06,-1.52,4.55,3.49,-8.70,3.88
92189,8.96,-1.49,4.75,3.35,-8.67,3.78
