millis,x_1,y_1,z_1,x_2,y_2,z_2
5074,8.10,-2.79,5.38,3.17,-9.40,3.05
5099,8.67,-2.60,5.30,4.08,-8.45,2.76
5125,8.30,-2.59,5.24,3.67,-8.87,2.92
5149,8.22,-2.76,5.51,3.75,-8.72,2.92
5199,8.28,-2.71,5.56,3.74,-9.00,2.77
5224,8.15,-2.76,5.49,3.77,-8.89,2.75
5274,8.43,-2.66,5.44,3.76,-8.85,2.71
5300,8.09,-2.79,5.15,4.01,-8.76,2.84
5349,8.30,-2.71,5.29,3.77,-8.94,2.78
5374,8.37,-2.83,5.70,3.79,-8.75,3.79
5399,8.28,-2.77,5.28,3.55,-9.05,2.83
5449,8.26,-2.77,5.19,3.40,-9.11,2.60
5474,8.31,-2.78,5.48,3.79,-8.89,3.07
5524,8.23,-2.79,5.56,3.92,-8.65,2.93
5550,8.20,-2.87,5.33,3.65,-8.93,2.80
5600,8.10,-2.83,5.59,3.71,-8.96,2.73
5624,8.13,-2.94,5.68,3.86,-8.88,2.57
5675,8.18,-2.80,5.57,3.66,-8.83,2.60
5699,8.03,-2.82,5.27,3.65,-8.90,2.63
5748,8.17,-2.98,5.52,3.81,-8.88,2.86
5774,7.96,-3.05,5.69,3.63,-8.77,2.59
5799,7.69,-3.06,5.83,3.86,-8.93,2.88
5850,7.78,-3.32,6.15,3.75,-8.81,2.84
5874,7.74,-3.43,5.94,3.83,-8.83,2.75
5924,7.69,-3.29,5.59,3.61,-8.91,2.61
5949,7.74,-3.30,6.19,3.68,-8.90,2.55
5999,7.77,-3.29,6.13,3.68,-8.90,3.01
6024,7.60,-3.34,5.99,3.67,-8.82,2.59
6075,7.72,-3.30,6.01,3.68,-8.79,2.71
6099,7.68,-3.30,5.88,3.55,-8.81,2.85
6149,7.67,-3.21,5.83,3.57,-8.89,2.97
6174,7.61,-3.23,5.72,3.59,-8.88,2.52
6223,7.63,-3.24,5.85,3.86,-8.86,2.75
6249,7.69,-3.33,6.00,3.62,-8.84,2.39
6274,7.72,-3.30,5.76,3.75,-8.88,2.96
6325,7.70,-3.41,6.14,3.77,-8.82,2.57
6349,7.58,-3.31,5.88,3.69,-8.80,2.70
6400,7.72,-3.36,5.85,3.78,-8.88,2.65
6424,7.70,-3.37,5.87,3.68,-8.88,2.71
6474,7.58,-3.36,5.78,3.72,-8.82,2.64
6499,7.57,-3.34,5.71,3.73,-8.72,2.67
6548,7.54,-3.30,6.01,3.82,-8.89,2.70
6575,7.57,-3.45,6.02,3.70,-8.78,2.89
6624,7.62,-3.33,6.00,3.75,-8.91,2.67
6649,7.60,-3.39,5.88,3.56,-8.90,2.81
6674,7.54,-3.40,6.04,3.71,-8.88,3.16
6724,7.63,-3.30,5.96,3.80,-8.79,2.93
6749,7.66,-3.31,5.98,3.63,-8.86,2.59
6800,7.56,-3.45,5.83,3.83,-8.94,2.83
6824,7.70,-3.41,5.81,3.81,-8.86,2.85
6874,7.60,-3.32,5.83,3.72,-8.88,2.66
6899,7.65,-3.36,5.78,3.74,-8.80,3.26
6948,7.67,-3.32,6.07,3.83,-9.02,2.67
6974,7.61,-3.41,6.10,3.71,-8.85,3.02
7023,7.59,-3.36,6.12,3.95,-8.84,2.88
7050,7.58,-3.38,6.09,3.93,-8.97,2.85
7074,7.61,-3.40,5.89,3.75,-8.90,2.79
7124,7.64,-3.33,5.80,3.48,-8.80,3.04
7149,7.58,-3.32,5.83,3.74,-8.85,3.01
7199,7.57,-3.40,5.87,3.84,-8.86,3.05
7224,7.64,-3.31,5.95,3.84,-8.92,2.93
7273,7.54,-3.36,5.97,3.74,-8.85,2.59
7300,7.59,-3.31,5.92,3.76,-8.88,2.79
7349,7.57,-3.30,6.04,3.90,-8.87,2.53
7374,7.64,-3.36,5.96,3.87,-8.78,2.64
7424,7.65,-3.39,5.86,3.67,-8.89,2.59
7449,7.76,-3.36,6.13,3.52,-8.80,2.97
7474,7.55,-3.40,5.86,3.85,-8.84,2.51
7524,7.50,-3.43,5.98,3.66,-8.79,2.74
7549,7.68,-3.47,5.94,3.82,-8.90,2.79
7600,7.63,-3.42,6.00,3.76,-8.89,2.69
7624,7.53,-3.42,6.02,3.78,-8.91,2.79
7673,7.64,-3.41,5.91,3.72,-8.88,2.77
7699,7.59,-3.32,6.19,3.66,-8.91,2.67
7748,7.68,-3.33,5.81,3.74,-8.87,3.06
7798,7.54,-3.41,5.94,3.94,-8.94,2.74
7824,7.75,-3.39,6.08,3.83,-8.94,3.05
7849,7.61,-3.30,5.77,3.88,-8.88,2.79
7874,7.56,-3.35,5.95,3.80,-8.87,2.66
7924,7.52,-3.46,6.05,3.78,-8.89,2.68
7949,7.66,-3.35,6.15,3.59,-8.91,2.57
7999,7.60,-3.41,5.94,3.57,-8.81,2.83
8025,7.56,-3.34,5.84,3.66,-8.88,2.73
8074,7.69,-3.35,5.78,3.80,-8.90,3.07
8099,7.61,-3.43,6.03,3.64,-8.87,2.77
8148,7.59,-3.37,5.99,3.93,-8.79,2.47
8174,7.54,-3.37,6.19,3.67,-8.80,2.67
8223,7.66,-3.29,5.83,3.69,-8.80,2.55
8249,7.56,-3.30,5.89,3.84,-8.82,2.22
8274,7.71,-3.39,5.75,3.77,-8.81,2.60
8325,7.64,-3.40,5.99,3.87,-8.84,2.65
8349,7.64,-3.34,6.01,3.69,-8.84,2.81
8399,7.66,-3.37,5.96,3.73,-8.86,2.72
8424,7.71,-3.39,5.98,3.82,-8.89,2.61
8473,7.65,-3.41,6.10,3.70,-8.91,2.65
8499,7.54,-3.38,5.94,3.62,-8.79,2.56
8549,7.61,-3.41,5.77,3.73,-8.81,2.79
8574,7.52,-3.28,5.69,3.91,-8.88,2.63
8624,7.67,-3.33,5.83,3.71,-8.91,2.56
8649,7.57,-3.38,5.74,3.81,-8.84,2.63
8698,7.69,-3.36,6.17,3.62,-8.76,2.93
8724,7.60,-3.36,5.83,3.69,-8.85,2.64
8749,7.67,-3.33,6.14,3.74,-8.88,2.63
8800,7.60,-3.39,6.19,3.53,-8.86,2.90
8824,7.52,-3.37,6.02,3.75,-8.88,2.62
8873,7.57,-3.36,6.02,3.79,-8.80,2.65
8899,7.63,-3.30,5.90,3.82,-8.87,2.93
8948,7.54,-3.35,5.85,3.73,-8.82,2.86
8974,7.61,-3.30,5.63,3.84,-8.87,2.76
9023,7.70,-3.41,5.92,3.86,-8.81,2.54
9050,7.70,-3.39,5.90,3.67,-8.89,2.97
9099,7.56,-3.32,5.92,3.72,-8.89,2.63
9124,7.54,-3.35,5.76,3.70,-8.88,3.03
9149,7.67,-3.34,5.91,3.63,-8.77,3.10
9198,7.61,-3.36,6.04,3.70,-8.79,2.63
9224,7.64,-3.34,5.87,3.75,-8.83,3.09
9274,7.61,-3.46,5.72,3.97,-8.86,2.56
9299,7.54,-3.31,5.60,3.72,-8.88,2.96
9349,7.59,-3.31,5.88,3.67,-8.76,2.68
9374,7.54,-3.42,6.09,3.79,-8.89,2.63
9423,7.57,-3.43,5.81,3.76,-8.83,2.63
