millis,x_1,y_1,z_1,x_2,y_2,z_2
14984,8.92,-1.14,4.74,3.41,-8.60,3.95
15009,9.17,-0.85,4.74,3.97,-8.18,3.76
15024,9.06,-1.01,4.80,3.47,-8.76,3.72
15049,9.15,-1.00,4.87,3.95,-8.42,3.73
15089,9.22,-0.91,4.85,3.74,-8.62,3.60
15124,9.15,-0.98,4.87,3.53,-8.53,3.87
15159,9.25,-1.01,4.59,3.70,-8.48,3.58
15199,9.11,-1.09,4.44,3.89,-8.37,3.83
15234,9.09,-1.02,4.68,3.36,-8.53,4.01
15269,8.96,-1.07,4.78,3.84,-8.55,3.58
15304,9.09,-1.05,4.64,3.87,-8.31,3.68
15344,9.16,-0.99,4.84,3.87,-8.20,4.25
15379,9.35,-1.17,4.90,3.18,-8.10,3.40
15414,8.99,-1.12,4.97,3.95,-8.42,3.76
15454,8.74,-1.05,4.81,3.51,-8.38,3.68
15490,9.09,-1.10,4.73,3.78,-8.55,3.65
15524,9.20,-0.76,4.59,3.51,-8.54,3.99
15559,8.94,-0.92,4.68,3.64,-8.51,4.09
15599,9.23,-1.12,4.72,3.46,-8.52,3.98
15634,8.93,-1.06,4.56,3.64,-8.45,4.04
15669,9.09,-1.05,4.66,3.66,-8.46,3.75
15709,9.22,-1.00,4.86,3.76,-8.45,3.79
15745,8.98,-0.94,4.64,3.56,-8.48,3.86
15779,9.20,-0.90,4.75,3.63,-8.52,3.51
15814,9.11,-0.98,4.80,3.49,-8.50,3.80
15854,9.16,-0.93,4.78,3.51,-8.46,3.74
15889,9.17,-1.03,4.87,3.71,-8.46,3.69
15924,9.20,-1.00,4.70,3.81,-8.48,3.75
15964,9.28,-0.93,4.62,3.72,-8.47,3.65
16000,9.17,-1.06,4.57,3.62,-8.53,3.88
16034,9.13,-0.94,4.69,3.63,-8.40,3.70
16069,9.11,-0.96,4.97,3.70,-8.50,3.72
16109,9.00,-1.11,4.72,3.56,-8.52,3.87
16144,9.09,-0.96,4.80,3.68,-8.45,3.37
16179,9.12,-0.99,4.84,3.61,-8.39,3.68
16219,9.16,-1.07,4.82,3.54,-8.47,3.42
16254,9.18,-0.90,4.71,3.65,-8.49,3.69
16289,9.27,-0.97,4.95,3.72,-8.53,3.70
16324,9.20,-1.00,4.81,3.72,-8.53,4.19
16364,9.07,-0.94,4.66,3.61,-8.52,3.89
16399,9.08,-0.96,4.79,3.72,-8.53,3.62
16434,9.13,-0.95,4.74,3.58,-8.53,3.78
16470,9.07,-0.98,4.53,3.77,-8.48,3.70
16509,9.16,-0.93,5.05,3.50,-8.41,4.02
16544,9.13,-0.94,4.86,3.73,-8.45,3.78
16579,9.01,-1.06,4.70,3.46,-8.56,3.93
16619,9.17,-0.96,4.73,3.72,-8.41,3.81
16654,9.04,-0.95,4.82,3.65,-8.57,4.03
16689,9.14,-0.99,4.88,3.69,-8.52,3.73
16724,9.17,-1.01,4.78,3.68,-8.42,3.33
16764,9.05,-0.97,4.73,3.60,-8.43,3.40
16799,9.13,-0.98,4.78,3.72,-8.43,3.85
16834,9.11,-1.03,4.43,3.86,-8.48,3.72
16870,9.12,-1.07,4.77,3.63,-8.58,3.62
16909,9.14,-0.99,4.68,3.60,-8.54,3.92
16944,9.19,-0.93,4.86,3.52,-8.46,3.85
16979,9.16,-0.97,4.90,3.67,-8.48,3.65
17019,9.13,-0.91,4.82,3.60,-8.41,4.11
17054,9.16,-1.05,4.84,3.62,-8.43,3.90
17089,9.25,-1.02,4.59,3.76,-8.45,3.65
17124,9.08,-0.89,4.55,3.63,-8.41,3.72
17164,9.23,-0.97,4.60,3.62,-8.50,4.17
17199,9.16,-0.99,4.64,3.66,-8.55,3.80
17234,9.10,-0.98,4.76,3.71,-8.51,3.76
17270,9.06,-0.94,4.47,3.79,-8.56,4.26
17309,9.16,-0.96,4.87,3.74,-8.45,3.85
17344,9.14,-0.98,4.73,3.61,-8.50,4.05
17379,9.07,-1.03,4.70,3.63,-8.47,3.92
17419,9.16,-0.92,4.62,3.69,-8.48,3.82
17454,9.16,-1.05,4.86,3.71,-8.54,3.88
17489,9.08,-1.01,4.34,3.69,-8.51,3.72
17524,9.16,-1.08,4.76,3.47,-8.55,3.62
17564,9.14,-0.99,4.76,3.70,-8.48,3.80
17599,9.07,-1.04,4.76,3.77,-8.51,3.77
17634,9.17,-0.98,4.91,3.63,-8.39,3.70
17674,9.17,-0.90,4.56,3.68,-8.51,3.45
17709,9.19,-0.92,4.74,3.76,-8.48,3.79
17744,9.06,-0.99,4.58,3.62,-8.45,3.66
17779,9.02,-0.98,4.68,3.66,-8.56,3.82
17819,9.05,-0.99,4.72,3.67,-8.51,3.96
17854,9.22,-0.93,4.78,3.77,-8.61,4.03
17889,9.06,-0.90,4.52,3.69,-8.40,3.68
17929,9.09,-1.02,4.66,3.65,-8.47,3.58
17965,9.09,-0.95,4.55,3.54,-8.56,3.78
17999,9.17,-1.01,4.73,3.72,-8.43,3.80
18034,9.14,-1.03,4.69,3.60,-8.56,3.72
18074,9.05,-1.00,4.60,3.68,-8.39,3.63
18109,9.09,-1.01,4.86,3.71,-8.50,3.73
18144,9.11,-0.92,4.50,3.53,-8.64,3.77
18184,9.17,-1.01,4.75,3.75,-8.52,3.98
18220,9.07,-0.95,4.86,3.76,-8.47,3.79
18254,9.14,-0.95,4.76,3.61,-8.56,3.69
18289,9.05,-1.02,4.71,3.68,-8.61,3.72
18329,9.24,-1.01,4.75,3.82,-8.48,3.69
